epoch,total_loss,mse_0,mse_f
0,310.7847595214844,0.246453657746315,310.4395446777344
25,8.245044708251953,0.2235918641090393,8.016743659973145
50,0.8860349655151367,0.3365904986858368,0.5375774502754211
75,0.509992241859436,0.44312819838523865,0.05911160632967949
100,0.6057544946670532,0.5729978680610657,0.027503006160259247
125,0.7546122074127197,0.7287728190422058,0.02182823419570923
150,0.9330270290374756,0.9089224934577942,0.02017180807888508
175,1.1388330459594727,1.113637089729309,0.02030136063694954
200,1.369357705116272,1.3410208225250244,0.02166750654578209
225,1.6223088502883911,1.5878323316574097,0.02536698803305626
250,1.895471453666687,1.8519480228424072,0.03142262622714043
275,2.1864404678344727,2.1316277980804443,0.039249811321496964
300,2.4924633502960205,2.424732208251953,0.048257000744342804
325,2.8105247020721436,2.7285478115081787,0.058057837188243866
350,3.1375460624694824,3.0396783351898193,0.06875031441450119
375,3.470632314682007,3.354297399520874,0.08090350031852722
400,3.8074588775634766,3.669013023376465,0.09514710307121277
425,4.147055149078369,3.982271909713745,0.1117587760090828
450,4.490746974945068,4.295289993286133,0.13097845017910004
475,4.840961456298828,4.61094856262207,0.15300965309143066
500,5.197481155395508,4.931150436401367,0.17651361227035522
525,5.557226657867432,5.254910945892334,0.19976146519184113
550,5.9172539710998535,5.578495979309082,0.22343647480010986
575,6.2752485275268555,5.897891521453857,0.2490428388118744
600,6.6286749839782715,6.210351467132568,0.2766968607902527
625,6.97443962097168,6.513689994812012,0.3052869439125061
650,7.308184623718262,6.805359840393066,0.3324396014213562
675,7.622969150543213,7.081547737121582,0.35398969054222107
700,7.909143924713135,7.33587646484375,0.3651660978794098
725,8.157312393188477,7.558714389801025,0.36440035700798035
750,8.363872528076172,7.740631103515625,0.35608989000320435
775,8.535263061523438,7.881699562072754,0.3468979001045227
800,8.686785697937012,7.997035980224609,0.3400806486606598
825,14.256184577941895,11.075132369995117,3.025721788406372
850,11.83031940460205,11.418671607971191,0.3141360878944397
875,10.305371284484863,9.467204093933105,0.5941336154937744
900,10.205172538757324,9.410208702087402,0.5003340840339661
925,10.185612678527832,9.384769439697266,0.45667463541030884
950,10.195549964904785,9.378938674926758,0.4196034073829651
975,10.267313957214355,9.409268379211426,0.42145389318466187
1000,10.390295028686523,9.47766399383545,0.4523110091686249
1025,13.891846656799316,13.175206184387207,0.5246217846870422
1050,11.653560638427734,10.613363265991211,0.6744973659515381
1075,11.239920616149902,10.349674224853516,0.4807646870613098
1100,11.237871170043945,10.327143669128418,0.45810702443122864
1125,14.312261581420898,11.619250297546387,2.3294942378997803
1150,11.653942108154297,10.798972129821777,0.43884873390197754
1175,11.643594741821289,10.677281379699707,0.5073466300964355
1200,22.991771697998047,10.785639762878418,11.736220359802246
1225,13.745201110839844,12.47222900390625,0.923306405544281
1250,12.815513610839844,10.732232093811035,1.6206459999084473
1275,13.370355606079102,11.435531616210938,1.4882256984710693
1300,17.737937927246094,14.297721862792969,3.128033399581909
1325,21.99394989013672,11.560651779174805,9.987253189086914
1350,13.216026306152344,11.724139213562012,1.0425676107406616
1375,14.040349960327148,11.152018547058105,2.4010355472564697
1400,14.115459442138672,11.930163383483887,1.7260853052139282
1425,18.41242027282715,17.227191925048828,0.8989692330360413
1450,26.872196197509766,12.097617149353027,14.290998458862305
1475,14.533160209655762,13.24168586730957,0.8485441207885742
1500,14.594304084777832,12.579052925109863,1.5207785367965698
1525,22.762920379638672,19.96434211730957,2.551584243774414
1550,16.824172973632812,14.9542818069458,1.4457693099975586
1575,25.733232498168945,23.956039428710938,1.5676292181015015
1600,20.264902114868164,17.80621910095215,2.071380138397217
1625,83.44122314453125,22.976940155029297,60.18376159667969
1650,33.65303039550781,27.304439544677734,6.18822717666626
1675,27.79763412475586,25.52143096923828,2.0884008407592773
1700,63.317893981933594,28.529613494873047,34.57269287109375
1725,32.8791389465332,30.17989158630371,2.4716525077819824
1750,29.23562240600586,26.43673324584961,2.4962339401245117
1775,27.30371856689453,25.214759826660156,1.760603904724121
