step,loss
0,26.869476318359375
25,7.688898086547852
50,4.008358955383301
75,2.495422601699829
100,1.4335721731185913
125,0.6433294415473938
150,0.2177039235830307
175,0.09130501747131348
200,0.0505480095744133
225,0.02919270657002926
250,0.01696081832051277
275,0.010551226325333118
300,0.0067796530202031136
325,0.004511138424277306
350,0.002991318702697754
375,0.0020176356192678213
400,0.001373500912450254
425,0.000962458667345345
450,0.0007229921757243574
475,0.0005489591276273131
500,0.0004263051087036729
525,0.0003397377149667591
550,0.00028369275969453156
575,0.00023720692843198776
600,0.00020425202092155814
625,0.00017500887042842805
650,0.00014597366680391133
675,0.0001219807454617694
700,0.00010242991265840828
725,8.62399028846994e-05
750,7.532108429586515e-05
775,6.47475098958239e-05
800,5.5504602642031386e-05
825,4.704321690951474e-05
850,4.01609213440679e-05
875,3.372508581378497e-05
900,2.7672758733388036e-05
925,2.4735807528486475e-05
950,2.2087408069637604e-05
975,1.9439923562458716e-05
1000,1.7585467503522523e-05
1025,1.565052843943704e-05
1036,1.4939907487132587e-05
