step,loss
0,2.0033767223358154
25,1.9218858480453491
50,1.5006002187728882
75,1.2372547388076782
100,1.0220227241516113
125,0.8728952407836914
150,0.7964445352554321
175,0.7094628214836121
200,0.6373209357261658
225,0.5784417986869812
250,0.5168983340263367
275,0.47918298840522766
300,0.4498222768306732
325,0.41728004813194275
350,0.394511342048645
375,0.3688766360282898
400,0.34973663091659546
425,0.312146931886673
450,0.28537100553512573
475,0.26186084747314453
500,0.24472790956497192
525,0.22754327952861786
550,0.2182823270559311
575,0.2075873762369156
600,0.20209158957004547
625,0.18952615559101105
650,0.1773519068956375
675,0.16689004004001617
700,0.15698276460170746
725,0.14777901768684387
750,0.13762003183364868
775,0.13126330077648163
800,0.12548500299453735
825,0.12044407427310944
850,0.11251441389322281
875,0.10664786398410797
900,0.10097265988588333
925,0.09933190792798996
950,0.0942462831735611
975,0.08913366496562958
1000,0.08461365848779678
1025,0.08243343234062195
1050,0.07922743260860443
1075,0.07666951417922974
1100,0.07366131246089935
1125,0.07170838117599487
1150,0.06922866404056549
1175,0.06753088533878326
1200,0.06504396349191666
1225,0.06271885335445404
1250,0.0614607036113739
1275,0.05874703451991081
1300,0.05708378180861473
1325,0.05607043206691742
1350,0.05521281808614731
1375,0.05400716885924339
1400,0.05245167016983032
1425,0.05102819949388504
1450,0.04964013770222664
1475,0.04875096306204796
1500,0.0477474220097065
1525,0.04680735617876053
1550,0.0459548681974411
1575,0.045149318873882294
1600,0.04412465542554855
1625,0.04378792271018028
1650,0.042908817529678345
1675,0.0420120470225811
1700,0.04137636348605156
1725,0.0407157763838768
1750,0.040051527321338654
1775,0.03951110690832138
1800,0.038698576390743256
1825,0.03764592111110687
1850,0.036980047821998596
1875,0.036218032240867615
1900,0.03528279811143875
1925,0.03465208411216736
1950,0.03403036296367645
1975,0.03346828743815422
2000,0.03298867866396904
2025,0.03238669037818909
2050,0.03192397207021713
2075,0.03128892555832863
2100,0.0304314773529768
2125,0.029571790248155594
2150,0.028957197442650795
2175,0.028414921835064888
2200,0.02777143567800522
2225,0.02721673622727394
2250,0.026811959221959114
2275,0.026418795809149742
2300,0.026131218299269676
2325,0.025660095736384392
2350,0.025331754237413406
2375,0.024980630725622177
2400,0.02470330148935318
2425,0.024403348565101624
2450,0.024123532697558403
2475,0.023893779143691063
2500,0.02347460202872753
2525,0.023045485839247704
2550,0.02272694744169712
2575,0.022443925961852074
2600,0.022185804322361946
2625,0.02197093889117241
2650,0.021744240075349808
2675,0.021480390802025795
2700,0.021221429109573364
2725,0.021004585549235344
2750,0.020770862698554993
2775,0.020642772316932678
2800,0.020377621054649353
2825,0.02014836110174656
2850,0.01992313750088215
2875,0.019566912204027176
2900,0.019234994426369667
2925,0.01908022165298462
2950,0.018789710476994514
2975,0.018649589270353317
3000,0.018482472747564316
3025,0.018171032890677452
3050,0.017899470403790474
3075,0.017609525471925735
3100,0.01734774373471737
3125,0.017045360058546066
3150,0.016741575673222542
3175,0.016541503369808197
3200,0.016333727166056633
3225,0.016075771301984787
3250,0.01581229455769062
3275,0.01558525487780571
3300,0.015402170829474926
3325,0.015255848877131939
3350,0.015076396986842155
3375,0.014824122190475464
3400,0.014649970456957817
3425,0.014432390220463276
3450,0.014295380562543869
3475,0.014095769263803959
3500,0.013819674029946327
3525,0.013588867150247097
3550,0.013441309332847595
3575,0.013259544968605042
3600,0.013091585598886013
3625,0.012946397997438908
3650,0.012727770023047924
3675,0.012566285207867622
3700,0.012466213665902615
3725,0.012358469888567924
3750,0.012263903394341469
3775,0.012209059670567513
3800,0.01208433322608471
3825,0.011949107982218266
3850,0.011804468929767609
3875,0.011635616421699524
3900,0.01151120476424694
3925,0.01140614040195942
3950,0.011320791207253933
3975,0.011232010088860989
